gvkey,ayear,patent_app_count,RETech_avg
1000,1974,2,1.282583770648189
1000,1975,2,1.3095388854679415
1000,1976,2,1.0998303609067512
1004,1979,1,0.4626499987137494
1004,1981,1,2.276392771864013
1004,1982,1,-0.2658290802632982
1004,1985,2,1.0353375605123185
1004,1988,1,3.16481759164738
1004,1989,1,-0.5765725267219274
1004,1990,1,1.1033056241734762
1004,1992,4,0.10558591910745113
1004,1993,2,0.7173575811198789
1004,1994,1,-0.489742817857237
1004,1997,1,-0.0254605645095116
1004,2001,1,-0.0929201413465357
1004,2003,1,1.247951464936044
1004,2004,1,0.5688028717214775
1004,2007,1,-0.1496277997818482
1004,2009,2,1.4478582203369574
1004,2010,1,1.219152856659382
1004,2011,1,0.2332357778780088
1004,2012,1,1.1596231691762096
1004,2013,1,0.6356073515424303
1010,1921,6,2.639530337184653
1010,1922,7,2.1715823582864013
1010,1923,14,1.2817085962692125
1010,1924,7,2.6521834369123525
1010,1925,29,2.7543107775234543
1010,1926,35,1.804850189229797
1010,1927,29,1.6211859994716649
1010,1928,50,1.6839664166675223
1010,1929,19,2.0151575335799494
1010,1930,20,1.3227323108931615
1010,1931,38,0.8676751149155679
1010,1932,21,0.36478196446256267
1010,1933,17,1.1972994125014012
1010,1934,22,1.441166773123384
1010,1935,17,1.335471985084201
1010,1936,27,1.4804383088623623
1010,1937,30,1.6172743838585788
1010,1938,22,1.6148075961855575
1010,1939,32,1.7100712642444351
1010,1940,22,1.2182648944812493
1010,1941,20,2.6807484963593806
1010,1942,24,1.9321781336366417
1010,1943,22,3.7112973970586425
1010,1944,8,4.469951578010867
1010,1945,5,3.066738822756787
1010,1946,18,3.80217601161773
1010,1947,28,2.8801567480726495
1010,1948,28,2.396216687093317
1010,1949,19,1.582757329758976
1010,1950,16,1.7278473184569785
1010,1951,27,0.8968167140488772
1010,1952,26,1.4999071419874963
1010,1953,18,1.8021007692664972
1010,1954,45,2.3338139292146036
1010,1955,27,1.305726400751165
1010,1956,43,1.9754322446017705
1010,1957,51,1.4388716592795319
1010,1958,75,0.8882568277599865
1010,1959,57,1.4176282587180637
1010,1960,44,0.8037413980312117
1010,1961,45,1.2419324526834956
1010,1962,42,1.0061329709507068
1010,1963,40,1.0233051333361078
1010,1964,54,0.9238004244447614
1010,1965,51,0.8988134121823755
1010,1966,45,1.3118525251645408
1010,1967,38,1.0476105781347653
1010,1968,47,2.1521817875635567
1010,1969,30,1.0498636586187802
1010,1970,29,0.7533063491142584
1010,1971,28,1.5346580536657968
1010,1972,22,1.4516939681146324
1010,1973,34,0.8398238506746045
1010,1974,32,1.7984928641990026
1010,1975,30,2.4135663624757275
1010,1976,37,1.39331368930565
1010,1977,55,0.43281775694460306
1010,1978,45,0.5955647922428073
1010,1979,64,0.7919248205171651
1010,1980,37,0.4345781986986552
1010,1981,27,0.4225542094229445
1010,1982,12,0.3081087203568266
1010,1983,1,-0.3097587110399726
1012,1975,2,0.8156664572460455
1012,1976,1,0.3452053712782011
1012,1985,1,0.0786529196219132
1013,1977,1,-0.2849540341206232
1013,1978,2,0.3002116558950533
1013,1980,3,0.7393268958158433
1013,1981,2,0.4952902797802923
1013,1982,3,1.1218595972883059
1013,1983,4,1.3136207227287708
1013,1984,9,1.3531091493989875
1013,1985,9,1.2011760071135957
1013,1986,9,1.0828290023066733
1013,1987,4,0.9735991598316771
1013,1988,6,2.2256463534084814
1013,1989,5,1.1635217087443919
1013,1990,13,1.288056583409014
1013,1991,19,0.9798699121871564
1013,1992,14,0.3807915008790036
1013,1993,17,1.3093325522704977
1013,1994,14,1.5980102766821143
1013,1995,9,2.03437147104839
1013,1996,21,4.007944740227115
1013,1997,28,1.142914937174227
1013,1998,37,2.182992197694925
1013,1999,59,1.8839614459944964
1013,2000,82,0.657258113238967
1013,2001,133,0.9767218684967781
1013,2002,91,1.0811169270294112
1013,2003,48,0.5737370847577348
1013,2004,62,0.23547572464375827
1013,2005,93,0.10727778354515818
1013,2006,114,0.027482306461043753
1013,2007,142,0.6886234726803636
1013,2008,98,0.7245301850482848
1013,2009,26,0.5103625172673842
1017,1982,1,0.6160439122217279
1017,1993,2,0.9732996220748337
1018,1970,1,1.673548701865168
1018,1973,1,1.2999779565604257
1018,1977,1,-0.1023772614300007
1018,1978,3,0.7616060001221431
1018,1979,2,1.8522777496901044
1019,1973,1,0.7839661738147535
1019,1976,1,2.7255307691830053
1019,1977,2,0.6191365658399594
1019,1978,5,0.8846792110169404
1019,1979,2,0.7645851362307533
1019,1980,1,0.1896086845484687
1019,1981,1,0.6749679668581907
1019,1983,1,2.800680096084141
1019,1984,1,1.7288726184556775
1020,1978,1,3.668871622077473
1021,1992,1,2.55640516420223
1021,1995,1,4.2034045428578
1031,1958,1,2.686760688621838
1031,1959,1,1.0358622231233987
1031,1963,2,0.6243200825166875
1031,1964,5,0.3427351982496731
1031,1965,3,1.361752481624616
1031,1968,1,1.3716621843509798
1031,1973,1,-0.3406550365081027
1034,1996,1,-2.288354651773678
1034,2000,1,0.5932377600111214
1036,1981,2,0.0800006606319901
1036,1982,10,1.1800719237415334
1036,1983,8,0.960948218948316
1036,1984,1,0.5666014090840699
1036,1985,6,1.1153566381270748
1036,1986,2,1.0203649018463647
1036,1987,6,0.8488558219267072
1036,1988,4,0.6433530006192631
1036,1989,2,0.4232528308617721
1036,1990,2,0.7628373740849574
1036,1991,2,0.44793589967364567
1036,1992,2,0.4558991168424423
1036,1993,1,2.579005466986482
1036,1994,3,0.18526778197369542
1036,1995,7,-0.04055591242065087
1036,1996,8,3.2490550443566093
1036,1997,4,-0.007520209128477728
1036,1998,8,0.8828988667624068
1036,1999,2,0.4118537603591774
1036,2000,1,-0.2731207533909141
1040,1922,1,0.6833630675341897
1040,1923,2,2.324080884450665
1040,1924,7,2.50515453691161
1040,1925,13,2.0180089203610714
1040,1926,24,2.3526733159897613
1040,1927,21,2.1345386105568345
1040,1928,18,1.6629092129361687
1040,1929,21,1.5030076058958692
1040,1930,24,1.1597437170963154
1040,1931,27,1.6185778383967215
1040,1932,14,0.23836912253572445
1040,1933,20,1.8964710508164804
1040,1934,33,1.1575560845771786
1040,1935,29,2.285123017892892
1040,1936,22,1.08272088877233
1040,1937,38,1.2713244410792464
1040,1938,25,1.4166654677888604
1040,1939,15,2.533799345508292
1040,1940,30,2.104904165679187
1040,1941,17,1.0379006818082563
1040,1942,18,1.7812135952771229
1040,1943,11,2.61744123974192
1040,1944,11,2.715638429732795
1040,1945,15,2.1548809555539843
1040,1946,17,3.0311326525838753
1040,1947,19,3.877911092682092
